id,source,name,status,impact,started_at,resolved_at,fetched_at,source_url
google-cloud:J5ia5t9p3g9Q5Wi7r8Ev,google-cloud,Google Cloud incident J5ia5t9p3g9Q5Wi7r8Ev,resolved,,2026-09-01T14:44:00+00:00,2026-09-01T18:52:00+00:00,2026-09-05T12:31:42.931686+00:00,https://status.cloud.google.com/incidents/J5ia5t9p3g9Q5Wi7r8Ev
google-cloud:utF3FMFdQfwBzJcGG6vf,google-cloud,Google Cloud incident utF3FMFdQfwBzJcGG6vf,resolved,,2026-08-20T15:40:00+00:00,2026-08-20T19:20:00+00:00,2026-09-05T12:31:42.931686+00:00,https://status.cloud.google.com/incidents/utF3FMFdQfwBzJcGG6vf
google-cloud:3BvH3LVGcupoYqV6F4Nw,google-cloud,Google Cloud incident 3BvH3LVGcupoYqV6F4Nw,resolved,,2026-07-15T23:57:00+00:00,2026-07-16T12:25:00+00:00,2026-09-05T12:31:42.931686+00:00,https://status.cloud.google.com/incidents/3BvH3LVGcupoYqV6F4Nw
google-cloud:T8gmtofFSTGT5tbhyciF,google-cloud,Google Cloud incident T8gmtofFSTGT5tbhyciF,resolved,,2026-07-14T17:00:00+00:00,2026-07-15T03:40:00+00:00,2026-09-05T12:31:42.931686+00:00,https://status.cloud.google.com/incidents/T8gmtofFSTGT5tbhyciF
google-cloud:5fGQt4VbkDnr3Yp8PXPr,google-cloud,Google Cloud incident 5fGQt4VbkDnr3Yp8PXPr,resolved,,2026-06-05T07:00:00+00:00,2026-06-26T19:00:00+00:00,2026-09-05T12:31:42.931686+00:00,https://status.cloud.google.com/incidents/5fGQt4VbkDnr3Yp8PXPr
google-cloud:41E5S3mkTGDfkZuJZH5k,google-cloud,Google Cloud incident 41E5S3mkTGDfkZuJZH5k,resolved,,2026-02-27T12:37:00+00:00,2026-02-27T14:35:00+00:00,2026-09-05T12:31:42.931686+00:00,https://status.cloud.google.com/incidents/41E5S3mkTGDfkZuJZH5k
atlassian:8xc8jr91pcjh,atlassian,Atlassian incident 8xc8jr91pcjh,resolved,,2025-03-04T07:31:46.043Z,2025-03-04T07:31:46.088Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/8xc8jr91pcjh
atlassian:m0nz4gbbjmz2,atlassian,Atlassian incident m0nz4gbbjmz2,resolved,,2024-09-10T10:26:14.576Z,2024-09-10T12:43:48.654Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/m0nz4gbbjmz2
atlassian:d8jljnw353f3,atlassian,Atlassian incident d8jljnw353f3,resolved,,2024-09-09T08:56:21.449Z,2024-09-09T18:12:32.915Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/d8jljnw353f3
atlassian:kl4d5mfn26kc,atlassian,Atlassian incident kl4d5mfn26kc,resolved,,2024-09-02T09:23:21.117Z,2024-09-10T13:15:07.668Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/kl4d5mfn26kc
atlassian:2rsqj1hmdg82,atlassian,Atlassian incident 2rsqj1hmdg82,resolved,,2024-08-20T11:46:28.000Z,2024-08-23T11:15:08.487Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/2rsqj1hmdg82
atlassian:2spys43jxslj,atlassian,Atlassian incident 2spys43jxslj,resolved,,2024-07-03T20:51:01.423Z,2024-07-04T03:54:28.906Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/2spys43jxslj
atlassian:4dh7m57xqhfq,atlassian,Atlassian incident 4dh7m57xqhfq,resolved,,2024-06-06T01:30:44.222Z,2024-06-06T04:30:02.883Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/4dh7m57xqhfq
atlassian:gg9z8g8xsxc7,atlassian,Atlassian incident gg9z8g8xsxc7,resolved,,2024-02-14T21:57:44.064Z,2024-02-14T23:32:18.665Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/gg9z8g8xsxc7
atlassian:5187qzxv1zvg,atlassian,Atlassian incident 5187qzxv1zvg,resolved,,2024-02-07T16:40:28.378Z,2024-02-07T17:44:38.545Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/5187qzxv1zvg
atlassian:71sdcbz9gy53,atlassian,Atlassian incident 71sdcbz9gy53,resolved,,2024-01-09T22:03:34.285Z,2024-01-12T17:13:28.840Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/71sdcbz9gy53
atlassian:lvq7pq0zbgvr,atlassian,Atlassian incident lvq7pq0zbgvr,resolved,,2023-12-18T15:04:25.444Z,2023-12-19T03:28:15.244Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/lvq7pq0zbgvr
atlassian:httczs7wslz8,atlassian,Atlassian incident httczs7wslz8,resolved,,2023-11-22T04:27:42.581Z,2023-11-22T04:27:42.621Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/httczs7wslz8
atlassian:3sf6vg9v8nqm,atlassian,Atlassian incident 3sf6vg9v8nqm,resolved,,2023-10-24T00:22:32.900Z,2023-10-24T10:00:52.049Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/3sf6vg9v8nqm
atlassian:b2lqb2yxry16,atlassian,Atlassian incident b2lqb2yxry16,resolved,,2023-10-04T14:28:06.487Z,2023-10-04T17:20:32.547Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/b2lqb2yxry16
atlassian:lgl84rzhxd0d,atlassian,Atlassian incident lgl84rzhxd0d,resolved,,2023-09-29T16:26:31.000Z,2023-09-29T20:27:18.153Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/lgl84rzhxd0d
atlassian:4jkh49j0jjh6,atlassian,Atlassian incident 4jkh49j0jjh6,resolved,,2023-09-15T04:02:24.307Z,2023-09-15T05:19:25.622Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/4jkh49j0jjh6
atlassian:vk4mksp2hvj8,atlassian,Atlassian incident vk4mksp2hvj8,resolved,,2023-08-02T14:25:40.161Z,2023-08-02T15:59:20.026Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/vk4mksp2hvj8
atlassian:pzh5b8cvfk2g,atlassian,Atlassian incident pzh5b8cvfk2g,resolved,,2023-07-06T11:18:50.937Z,2023-07-06T15:37:19.645Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/pzh5b8cvfk2g
atlassian:fthwx4svyskf,atlassian,Atlassian incident fthwx4svyskf,resolved,,2022-08-05T06:41:46.345Z,2022-08-05T06:41:46.390Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/fthwx4svyskf
atlassian:wpphfps5ffpj,atlassian,Atlassian incident wpphfps5ffpj,resolved,,2022-06-22T03:17:06.995Z,2022-06-22T03:33:33.007Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/wpphfps5ffpj
atlassian:yz4mkc6j501q,atlassian,Atlassian incident yz4mkc6j501q,resolved,,2021-04-19T04:32:10.838Z,2021-04-30T01:34:05.130Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/yz4mkc6j501q
atlassian:r021q1l6nr1r,atlassian,Atlassian incident r021q1l6nr1r,resolved,,2021-02-12T02:28:07.614Z,2021-02-12T03:13:32.641Z,2026-09-05T12:31:42.931686+00:00,https://status.atlassian.com/incidents/r021q1l6nr1r
